region,year,T2M,T2M_MAX,T2M_MIN,T2MDEW,T2MWET,RH2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,WS2M,WS2M_MAX,WS2M_MIN,WD2M,PS,QV2M,GWETROOT,GWETTOP,GWETPROF,T2M_RANGE,PRECTOTCORR,total_precip_mm,avg_precip_mm,rainy_days,1 km monthly NDVI,1 km monthly EVI,1 km monthly VI Quality,1 km monthly red reflectance,1 km monthly NIR reflectance,1 km monthly blue reflectance,1 km monthly MIR reflectance
Central,2021,-0.47834251466437205,-0.9536295031216108,0.43590149653981064,0.6444714652535865,0.44522752833068907,0.8832638449483564,-0.48583071047707976,-0.024264192902201425,-0.13027615767356004,-1.2788499017061128,-1.5556739397938764,-0.4656171965036903,0.729379488286655,1.3949331549944128,0.7321548730383997,1.4220656873552464,1.2035854156959722,1.2199683012290492,-1.0731472145145746,0.482067693604091,0.32289336779144007,0.32646199072143034,0.3742541896840466,0.8001917527297092,0.9408135214562443,0.5212230394162579,-0.5798897145672257,0.8576734748957032,-0.39380617659106615,-0.4362460389526664
Central,2022,-0.6335023395123903,-1.001665436610605,0.22753240423715673,0.552234834335897,0.2999779181808418,0.8390727751338217,-0.6501294922819001,0.014623703655437933,-0.17617453840517627,-1.2303306555562956,-1.4947521175260954,-0.4868876002579155,0.617044486602882,1.3871677304878307,0.5938537525341053,1.5649334814988702,1.296681762513104,1.3591887145061319,-0.9918539023212932,0.5011932194376469,0.4008360031449014,0.4046219714734997,0.22758040764606224,0.6598489900983392,0.7311099589592676,0.5334952938633797,-0.425338453968352,0.7010944833900895,-0.16863396905904002,-0.49487945020042573
Central,2023,-0.3578480546193383,-0.8308085948762637,0.4862711435066827,0.6255059868842868,0.470978345292377,0.8019045664971375,-0.7414828434283374,0.08583609654192874,-0.18572372432569262,-1.2334322274780376,-1.5177942629206724,-0.45356774342380984,0.7019024685365146,1.4268397876382843,0.7080066792079726,1.661569666604931,1.2783615096586083,1.456660026190159,-0.9975235406611929,0.7008240111523053,0.447353095807912,0.44933724973174355,0.12979788628740602,0.7003290728510426,0.8269741235847076,0.5620786026626071,-0.33573310706583664,0.9238511544172101,-0.02883272029494313,-0.46948112903988504
Central,2024,-0.26930883329346283,-0.7836844362688754,0.5751080930383105,0.6866621149644844,0.5620631978745915,0.8378105272028734,-0.6906718594973545,-0.06735397638446387,-0.18352419806218567,-1.2094685855815372,-1.4960008170144032,-0.48987150617470393,0.7135766754330998,1.4462538365557285,0.8116419466028186,1.6941980139126436,1.3534599935966225,1.4944920921060063,-1.009355770069,0.6255833392018659,0.2576376968642862,0.2548067383984333,0.19091196213656617,0.630446804315315,0.6772730307342482,0.3130429499488367,-0.39572058231919344,0.632994232979431,-0.20681341129492947,-0.5864531318727766
Central,2025,-0.48287796622328844,-0.9082807314161,0.4012993531475066,0.6317642290882735,0.431384162161907,0.8706182232550798,-0.858600185790242,-0.9457153998147293,-1.3749693119413422,-1.1412391499582928,-1.4480159822269274,-0.28751042667382526,0.711079236768954,1.4533109979725163,0.7148846035371595,1.2872046688387515,1.103977950774335,1.0834481183477722,-1.0139623425955755,0.6156959432083787,0.6433294062989567,0.6490474864025703,0.6676017537600153,0.7053292626201945,0.7419917776986057,0.31906445356503793,-0.4934962726704007,0.6164769493283414,-0.30067951553626227,-0.6100425418148852
Eastern,2000,-0.2446924616559789,-0.0143218771985014,-0.21699593691598185,0.02220726503279632,-0.06793204483854158,0.07407766584974798,-0.20804066429824275,0.05903085030547657,0.3845868092032431,0.40189994432315596,0.18839644452748844,0.5295558738416659,-0.006138430174973983,-0.6987075060891645,-0.06492165675503983,-0.5601151810486887,-0.5845577843590352,-0.7073136798786862,0.11524629853027925,-0.32141097609043945,0.1892663622100682,0.18711777037090205,0.2120240974299124,0.7226846844644288,0.7309425216397045,0.3829952061066622,-0.6157911407669087,0.45734578415698246,-0.31525935828666507,-0.6411752744730789
Eastern,2001,-0.2647522827794441,-0.10118373987122879,-0.18693247876740382,0.07846386253071051,-0.021017633643649797,0.1558752759538906,-0.16678677792967878,0.0182667704292173,-0.00826843251011024,0.4707254481608624,0.18921200993903287,0.6537711317070032,0.15916951877033184,-0.6466854793518768,0.014137602728573118,-0.3601795293156387,-0.4239596492096273,-0.5083002138502387,0.02316348733890015,-0.19926293256250593,0.0011064665064850858,0.003027248682351121,0.1542435166270701,0.6402948574650715,0.5310466597851172,0.1403564256116808,-0.5978504817489141,0.16690568209884002,-0.23764718654422734,-0.6333744235326054
Eastern,2002,-0.258562821172764,-0.1343501563768219,-0.15089195832429478,0.1325530255012114,0.033152215059343876,0.2093092110241778,-0.180809403133437,-0.03038610695231983,-0.014658279948655166,0.35173691740339796,0.19323958553312284,0.44719383534248286,0.10979111504646555,-0.6372691183709017,0.09098448920650298,-0.2833313812949471,-0.2896913740863994,-0.4334059992330126,-0.026429778060545233,-0.13959537306334704,0.25711906444027566,0.25634177389418417,0.3742541896840466,0.8240867728447999,0.8140861182608817,0.12255269494898847,-0.7011402385554537,0.5151120539380111,-0.37156330661092696,-0.6882927198054875
Eastern,2003,-0.23746218479519,-0.22083893676269276,-0.03389678637475812,0.21225390734669258,0.11753232556585776,0.2627192436785302,-0.13382261006683674,0.028476391562284764,0.015890831087913133,0.17653679194120864,0.023406038134361633,0.3631114947431249,0.19249053996769153,-0.6494743258571402,0.18002415314678935,-0.18191462023070368,-0.13621027958801493,-0.337133014647716,-0.1692777689623873,-0.06940042664804548,0.3241156186592244,0.3291532684417033,0.2398032228158943,0.7986349240505625,0.7168032835364738,-0.11941109476120453,-0.7126974848793721,0.36481805016268654,-0.34694778753760613,-0.7905798641263453
Eastern,2004,-0.5001720023636999,-0.4875164416355109,-0.16421887045543768,0.26624473610730853,0.07361959847534992,0.43819274156759763,-0.40833483009705457,-0.12490468448800628,-0.10753790702689375,-0.030229780112415127,-0.07828135178060303,0.10339202809346465,0.2035574807631507,-0.6411547183404696,0.2567017845917741,0.1638482503838646,0.21330468089637286,0.012986335355516002,-0.32116267923688513,-0.019592437450084394,0.07063744085071601,0.0716083776337778,0.32536292900471847,0.6786896035010054,0.7270426572280556,0.4880971768463427,-0.4889991490919469,0.5981616722077289,-0.15048845463809193,-0.6648017184964224
