year,region,total_area_ha,avg_yield_mt_ha,total_production_mt
2017,Greater Accra,5204.2699999999995,1.644,9116.34
2017,Northern,148198.0,1.6984615384615382,259446.85
2017,Upper East,60025.0,1.676923076923077,103747.5
2017,Upper West,67058.76,1.6981818181818182,130445.8
2017,Volta,58820.0,1.8664,116444.47
2017,Western,48977.0,1.4627272727272727,73287.62
2018,Ashanti,128246.0,2.6682758620689655,351626.08
2018,Brong Ahafo,215050.0,2.1085185185185185,441328.83
2018,Central,91121.2,2.763529411764706,244652.28
2018,Eastern,164147.16,2.898076923076923,475236.05
2018,Greater Accra,9177.81,1.752,17303.37
2018,Northern,141424.3,1.6134615384615385,234887.95
2018,Upper East,68222.0,1.8384615384615384,132341.2
2018,Upper West,69375.0,2.2536363636363634,170269.62
2018,Volta,60472.0,2.1524,135403.76
2018,Western,73287.22,1.3836363636363638,103334.83
2019,Ahafo,30983.0,2.1816666666666666,64098.27
2019,Ashanti,162406.0,2.835813953488372,490246.13
2019,Bono,119398.0,2.6366666666666667,319907.99
2019,Bono East,99012.0,2.381818181818182,229688.18
2019,Central,101472.95,2.881818181818182,287014.05
2019,Eastern,173655.34,2.999090909090909,520021.2
2019,Greater Accra,8698.97,2.0380000000000003,19278.33
2019,North East,24209.56,1.4833333333333334,37315.240000000005
2019,Northern,92992.0,1.6512499999999999,157915.47
2019,Oti,22782.95,2.545,58676.8
2019,Savannah,32976.6,1.6357142857142857,54778.69
2019,Upper East,74418.0,2.086666666666667,161124.0
2019,Upper West,86882.96,2.571818181818182,233439.45
2019,Volta,39871.22,2.272222222222222,97313.55
2019,Western,56364.11,1.5728571428571427,88586.07
2019,Western North,24156.54,1.46,35210.48
2020,Ahafo,21994.0,1.7833333333333332,40670.020000000004
2020,Ashanti,170995.7,3.142325581395349,577871.93
2020,Bono,144993.54,2.3541666666666665,352616.5
2020,Bono East,108495.17,2.2354545454545454,248375.03
2020,Central,103115.1,3.063636363636364,314224.49
2020,Eastern,136352.77,2.7157692307692307,370332.06
2020,Greater Accra,16202.91,2.280689655172414,57049.659999999996
2020,North East,27925.0,2.018333333333333,58367.42
2020,Northern,102206.85,1.7425,175378.9
2020,Oti,24939.0,2.495,63066.85
2020,Savannah,33821.0,1.7671428571428573,60890.32
2020,Upper East,80960.0,2.1386666666666665,182384.54
2020,Upper West,94538.0,2.5063636363636363,246703.98
2020,Volta,39125.5,2.3294444444444444,96277.25
2020,Western,51905.25,2.857142857142857,142744.65
2020,Western North,25139.95,1.7566666666666668,44737.71
2021,Ahafo,36782.0,0.9133333333333332,29770.6
2021,Ashanti,168633.0,3.1386046511627907,567937.26
2021,Bono,148520.9,2.4158333333333335,369442.75
2021,Bono East,117938.0,2.5427272727272725,293144.62
2021,Central,110707.67,3.1,348240.33
2021,Eastern,145096.8,2.730909090909091,393237.43
2021,Greater Accra,6325.93,2.1307407407407406,18072.52
2021,North East,32764.8,2.0516666666666663,67035.84
2021,Northern,130658.22,2.020625,267719.02
2021,Oti,22651.0,3.0925,72365.74
2021,Savannah,39030.57,1.9471428571428573,78284.63
2021,Upper East,80707.5,1.8206666666666667,153958.18
2021,Upper West,108085.0,2.287272727272727,259178.68
2021,Volta,39542.840000000004,2.2716666666666665,95048.26
2021,Western,52475.49,2.48,135874.17
2021,Western North,26515.0,2.0122222222222224,54174.490000000005
2022,Ahafo,40940.0,2.89,116129.22
2022,Ashanti,168436.68,3.127441860465116,564152.87
2022,Bono,155515.59,2.393333333333333,385472.55
2022,Bono East,106113.9,2.409090909090909,248128.83
2022,Central,107366.1,3.2704545454545455,359171.64999999997
2022,Eastern,148315.21,2.726060606060606,401192.74
2022,Greater Accra,5717.4,2.2985185185185184,16269.95
2022,North East,33119.5,2.1350000000000002,71349.79000000001
2022,Northern,120430.4,1.94875,240868.1
2022,Oti,32574.72,2.881111111111111,87425.92
2022,Savannah,41068.0,2.2,92528.8
2022,Upper East,72836.0,1.7393333333333334,131923.5
2022,Upper West,98657.0,2.325454545454545,239863.0
2022,Volta,40233.729999999996,2.447222222222222,103918.47
2022,Western,50994.4,2.539285714285714,134584.12
2022,Western North,29407.0,2.111111111111111,62738.520000000004
2023,Ahafo,41463.0,3.123333333333333,129891.38
2023,Ashanti,175196.86,3.1372093023255814,592243.34
2023,Bono,160102.14,2.65,440074.14
2023,Bono East,113710.6,2.4690909090909092,279669.31
2023,Central,111483.66,3.272272727272727,370525.73
2023,Eastern,147513.3,2.75,403508.0
2023,Greater Accra,5801.65,2.3844,17910.71
2023,North East,34241.5,2.111666666666667,73213.20999999999
2023,Northern,159109.18,1.839375,304286.51
2023,Oti,41165.869999999995,3.3055555555555554,134208.36
2023,Savannah,51497.619999999995,2.712857142857143,143294.6
2023,Upper East,73236.0,1.7733333333333334,132959.14
2023,Upper West,99944.0,2.231818181818182,238849.4
2023,Volta,41702.19,2.4766666666666666,108558.26
2023,Western,52013.8,2.573571428571429,140144.13
2023,Western North,31225.6,2.2088888888888887,69410.21
